id,dateCreation,solde,idClient
b-co001,2023-01-12T23:38:54.089057100,9800.0,1
b-co002,2023-02-12T23:38:54.089057100,2200.0,1
b-co003,2023-03-12T23:38:54.089057100,300300.0,1
b-co004,2023-01-12T23:38:54.089057100,4000,2
b-co005,2022-02-12T23:38:54.089057100,5000,2
b-co006,2021-01-12T23:38:54.089057100,6000,2
b-co007,2022-04-12T23:38:54.089057100,7000,3
b-co008,2022-05-12T23:38:54.089057100,8000,3
b-co009,2022-04-12T23:38:54.089057100,9000,3
b-co0010,2023-01-12T23:38:54.089057100,11000,4
b-co0011,2023-03-12T23:38:54.089057100,2000,4
b-co0012,2023-02-12T23:38:54.089057100,3000,4
b-co0013,2023-04-12T23:38:54.089057100,100000,5
b-co0014,2023-05-12T23:38:54.089057100,2000,5
b-co0015,2023-01-12T23:38:54.089057100,3400.0,5
